ガゾリンスタンド	a	gas station	gas stations	
肩（かた）	a	shoulder	shoulders	
偏（かたよ）り	a	bias	biases	1
価値（かち）	a	value	values	1
鰹（かつお）		bonito		1
学校（がっこう）	a	school	schools	
滑走路（かっそうろ）	a	runway	runways	1
活動（かつどう）	an	activity	activities	
カップ	a	cup	cups	
カップラーメン		cup noodles		1
カップル	a	couple	couples	
家庭（かてい）	a	household	households	1
仮定（かてい）	an	assumption	assumptions	1
過程（かてい）	a	process	processes	1
課程（かてい）	a	course	courses	1
家庭教師（かていきょうし）	a	tutor	tutors	
家電製品（かでんせいひん）	an	electric appliance	electric appliances	
家電製品店（かでんせいひんてん）	an	appliance shop	appliance shops	
悲（かな）しみ		sorrow		1
悲（かな）しみ		sadness		
金物屋（かなものや）	a	hardware shop	hardware shops	
鞄（かばん）	a	bag	bags	
カフェ	a	cafe	cafes	
花粉（かふん）		pollen		
花粉症（かふんしょう）		hay fever		
壁（かべ）	a	wall	walls	
我慢（がまん）		patience		1
紙（かみ）		paper		
髪（かみ）		hair		1
神（かみ）		god		
髪型（かみがた）		hair style		
カミソリ	a	razor	razors	1
雷（かみなり）		thunder		
髪（かみ）の毛（け）		hair		
ガム		chewing gum		
カメラ	a	camera	cameras	
仮面（かめん）	a	mask	masks	
画面（がめん）	a	screen	screens	
カラオケ		karaoke		
烏（からす）	a	crow	crows	
体（からだ）	a	body	bodies	
カレー		curry		
カレーライス		curry and rice		
かゆみ	an	itch	itches	
川（かわ）	a	river	rivers	
皮（かわ）		skin		
皮（かわ）		leather		
毛皮（けがわ）		fur		
缶（かん）	a	can	cans	
勘（かん）	an	intuition	intuitions	1
癌（がん）		cancer		1
眼科（がんか）		ophthalmology		1
眼科医（がんかい）	an	ophthalmologist	ophthalmologists	1
眼科医（がんかい）	an	eye specialist	eye specialists	
考（かんが）え	an	idea	ideas	
考（かんが）え	a	thought	thoughts	1
考（かんが）え		thinking		1
感覚（かんかく）	a	sense	senses	
間隔（かんかく）	an	interval	intervals	1
観客（かんきゃく）	a	spectator	spectators	1
観客（かんきゃく）	an	audience	audiences	
環境（かんきょう）	an	environment	environments	1
関係（かんけい）	a	relationship	relationships	
歓迎会（かんげいかい）	a	welcome party	welcome parties	
観光（かんこう）		sightseeing		
感情（かんじょう）	an	emotion	emotions	1
感想（かんそう）	an	impression	impressions	
肝臓（かんぞう）	a	liver	livers	1
干渉（かんしょう）		interference		1
感動（かんどう）	an	impression	impressions	
看板（かんばん）	a	sign	signs	
管理（かんり）		management		1
木（き）	a	tree	trees	
キーボード	a	key board	key boards	
黄色（きいろ）		yellow		
記憶（きおく）	a	memory	memories	
気温（きおん）	a	temperature	temperatures	
機会（きかい）	an	opportunity	opportunities	1
機会（きかい）	a	chance	chances	
機械（きかい）	a	machine	machines	
期間（きかん）	a	period	periods	1
器官（きかん）	an	organ	organs	1
企業（きぎょう）	a	company	companies	
危険（きけん）	a	danger	dangers	
危険（きけん）	a	risk	risks	
棄権（きけん）		abstention		1
期限（きげん）	a	due date	due dates	1
機嫌（きげん）	a	mood	moods	1
起源（きげん）	an	origin	origins	1
岸（きし）	a	shore	shores	
記事（きじ）	an	article	articles	1
技術（ぎじゅつ）	a	skill	skills	
傷（きず）	a	scratch	scratches	
傷跡（きずあと）	a	scar	scars	
絆（きずな）	a	bond	bonds	1
喫茶店（きっさてん）	a	coffee shop	coffee shops	
規制（きせい）	a	regulation	regulations	1
犠牲者（ぎせいしゃ）	a	victim	victims	1
季節（きせつ）	a	season	seasons	
規則（きそく）	a	rule	rules	
期待（きたい）	an	expectation	expectations	
気体（きたい）	a	gas	gasses	
機長（きちょう）	a	captain	captains	
キッチン	a	kitchen	kitchens	
キッチンペーパー		kitchen paper		
切符（きっぷ）	a	ticket	tickets	
記念（きねん）		commemoration		1
記念日（きねんび）		anniversary		1
機能（きのう）	a	function	functions	
きのこ	a	mushroom	mushrooms	
希望（きぼう）	a	hope	hopes	
希望（きぼう）	a	wish	wishes	1
気持（きも）ち	a	feeling	feelings	
疑問（ぎもん）	a	doubt	doubts	
気分（きぶん）	a	feeling	feelings	
客（きゃく）	a	customer	customers	
客（きゃく）	a	guest	guests	
キャッシュカード	a	cash card	cash cards	
キャベツ	a	cabbage	cabbages	
キャラクター	a	character	characters	
キャンセル	a	cancellation	cancellations	
ギャンブル		gambling		1
救急車（きゅうきゅうしゃ）	an	ambulance	ambulances	
休憩（きゅうけい）	a	rest	rests	
休憩（きゅうけい）	a	break	breaks	
吸収（きゅうしゅう）		absorption		1
救助（きゅうじょ）	a	rescue	rescues	1
牛肉（ぎゅうにく）		beef		
牛乳（ぎゅうにゅう）		milk		
きゅうり	a	cucumber	cucumbers	
給料（きゅうりょう）	a	salary	salaries	
給料日（きゅうりょうび）	a	payday	paydays	
行（ぎょう）	a	line	lines	
脅威（きょうい）	a	threat	threats	1
教会（きょうかい）	a	church	churches	
境界（きょうかい）	a	border	borders	1
協会（きょうかい）	an	association	associations	1
教科書（きょうかしょ）	a	textbook	textbooks	
共感（きょうかん）		empathy		1
教訓（きょうくん）	a	lesson	lessons	
競技者（きょうぎしゃ）	an	athlete	athletes	
教師（きょうし）	a	teacher	teachers	
競争（きょうそう）	a	competition	competitions	
競合者（きょうごうしゃ）	a	competitor	competitors	
兄弟（きょうだい）	a	brother	brothers	
強調（きょうちょう）	an	emphasis	emphases	1
協調（きょうちょう）		cooperation		1
協調性（きょうちょうせい）		cooperativeness		1
教頭（きょうとう）	a	vice-principal	vice-principals	
脅迫（きょうはく）		intimidation		1
恐怖（きょうふ）	a	fear	fears	
協力（きょうりょく）		cooperation		
行列（ぎょうれつ）	a	procession	processions	
魚介類（ぎょかいるい）		seafood		
許可（きょか）	a	permission	permissions	
距離（きょり）	a	distance	distances	
霧（きり）		fog		
切（き）れ目（め）	a	break	breaks	1
記録（きろく）	a	record	records	
キログラム	a	kilogram	kilograms	
キロメートル	a	kilometer	kilometers	
議論（ぎろん）	a	discussion	discussions	1
疑惑（ぎわく）	a	suspicion	suspicions	1
金（きん）		gold		
銀（ぎん）		silver		
銀行（ぎんこう）	a	bank	banks	
銀行員（ぎんこういん）	a	bank employee	bank employees	1
銀行口座（ぎんこうこうざ）	a	bank account	bank accounts	
筋肉（きんにく）	a	muscle	muscles	
区（く）	a	ward	wards	1
区域（くいき）	a	district	districts	1
空港（くうこう）	an	airport	airports	
空席（くうせき）	an	empty seat	empty seats	1
クーポン	a	coupon	coupons	
茎（くき）	a	stalk	stalks	
草（くさ）		grass		
くし	a	comb	combs	
薬（くすり）		medicine		
くじ	a	lottery	lotteries	
くしゃみ	a	sneeze	sneezes	
薬指（くすりゆび）	a	ring finger	ring fingers	
癖（くせ）	a	habit	habits	
口（くち）	a	mouth	mouths	
口喧嘩（くちげんか）	a	quarrel	quarrels	1
唇（くちびる）	a	lip	lips	
靴（くつ）	a	shoe	shoes	
靴下（くつした）	a	sock	socks	
靴底（くつぞこ）	a	sole	soles	
靴（くつ）ひも	a	shoelace	shoelaces	
果物（くだもの）	a	fruit	fruits	
国（くに）	a	country	countries	
首（くび）	a	neck	necks	
区役所（くやくしょ）	a	ward office	ward offices	1
グラム	a	gram	grams	
