	have	has	have	been able to	tell a lie	to		（ずっと）	に	嘘（うそ）をつ	く	ことができている
	have	has	have	not been able to	tell a lie	to	yet	まだ	に	嘘（うそ）をつ	く	ことはできていない
	had	had	had	been able to	tell a lie	to	till then	それまでずっと	に	嘘（うそ）をつ	く	ことができていた
	had	had	had	not been able to	tell a lie	to	till then	それまでずっと	に	嘘（うそ）をつ	く	ことはできていなかった
step-5	may have	may have	may have		told a lie	to			に	嘘（うそ）をつ	い	たかもしれない
	may not have	may not have	may not have		told a lie	to			に	嘘（うそ）をつ	か	なかったかもしれない
	may have	may have	may have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかったかもしれない
	must have	must have	must have		told a lie	to			に	嘘（うそ）をつ	い	たにちがいない
	must not have	must not have	must not have		told a lie	to			に	嘘（うそ）をつ	か	なかったにちがいない
	must have	must have	must have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかったにちがいない
	should have	should have	should have		told a lie	to			に	嘘（うそ）をつ	く	ほうがよかった
	should not have	should not have	should not have		told a lie	to			に	嘘（うそ）をつ	か	ないほうがよかった
	should have	should have	should have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできないほうがよかった
	can not have	can not have	can not have		told a lie	to			に	嘘（うそ）をつ	い	たはずがない
step-6	would	would	would		tell a lie	to			に	嘘（うそ）をつ	い	ただろう
	would	would	would	not	tell a lie	to			に	嘘（うそ）をつ	か	なかっただろう
	would	would	would	be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができただろう
	would	would	would	not be able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかっただろう
	would have	would have	would have		told a lie	to			に	嘘（うそ）をつ	い	たことだろう
	would not have	would not have	would not have		told a lie	to			に	嘘（うそ）をつ	か	なかったことだろう
	would have	would have	would have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができたことだろう
	would not have	would not have	would not have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかったことだろう
	could have	could have	could have		told a lie	to			に	嘘（うそ）をつ	い	た可能性がある
	could not have	could not have	could not have		told a lie	to			に	嘘（うそ）をつ	い	た可能性はない
	might have	might have	might have		told a lie	to			に	嘘（うそ）をつ	い	たかもしれなかった
	might not have	might not have	might not have		told a lie	to			に	嘘（うそ）をつ	か	なかったかもしれなかった
	might have	might have	might have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	tell a lie	to			に	嘘（うそ）をつ	く	ことはできなかったかもしれなかった
